voltage_range,v_low,v_high,sample_count,mean,median,std,min,max,q25,q75,iqr
0-100mV,0,100,29,0.20458630915431789,0.19042171387311177,0.05247576945987656,0.1410103805004585,0.4226533765752105,0.18148244162516652,0.21075440504191542,0.029271963416748897
100-200mV,100,200,31,0.20547093675504133,0.19274297384404818,0.05103764800425551,0.1410103805004585,0.4226533765752105,0.18209380209259035,0.21259805343962151,0.030504251347031164
200-300mV,200,300,33,0.20329938553129834,0.19042171387311177,0.05021161881595705,0.1410103805004585,0.4226533765752105,0.1812243060423455,0.21075440504191542,0.02953009899956993
300-400mV,300,400,33,0.20329938553129834,0.19042171387311177,0.05021161881595705,0.1410103805004585,0.4226533765752105,0.1812243060423455,0.21075440504191542,0.02953009899956993
400-500mV,400,500,33,0.20329938553129834,0.19042171387311177,0.05021161881595705,0.1410103805004585,0.4226533765752105,0.1812243060423455,0.21075440504191542,0.02953009899956993
500-600mV,500,600,35,0.2121982709955814,0.19042171387311177,0.0795587662328348,0.1410103805004585,0.5742086047719841,0.18050869320529328,0.21259805343962151,0.032089360234328235
600-700mV,600,700,36,0.22071984192179117,0.19158234385857997,0.09324900066201408,0.1410103805004585,0.5742086047719841,0.1808664996238194,0.2156587430964859,0.03479224347266649
700-800mV,700,800,36,0.22071984192179117,0.19158234385857997,0.09324900066201408,0.1410103805004585,0.5742086047719841,0.1808664996238194,0.2156587430964859,0.03479224347266649
800-900mV,800,900,36,0.22071984192179117,0.19158234385857997,0.09324900066201408,0.1410103805004585,0.5742086047719841,0.1808664996238194,0.2156587430964859,0.03479224347266649
900-1000mV,900,1000,35,0.22069261972208473,0.19042171387311177,0.09457160654537117,0.1410103805004585,0.5742086047719841,0.18050869320529328,0.21259805343962151,0.032089360234328235
1000-1100mV,1000,1100,33,0.20531767222706,0.1889317623568423,0.07831285574742908,0.0709469688863177,0.5189748243391351,0.17776130729895617,0.20203928720081474,0.024277979901858565
1100-1200mV,1100,1200,23,0.20977492312383691,0.18810731882201343,0.09198107260534208,0.0709469688863177,0.5189748243391351,0.17877719383359864,0.19865909134585533,0.01988189751225669
1200-1300mV,1200,1300,13,0.2231354843047883,0.1812243060423455,0.12034703274674281,0.0709469688863177,0.5189748243391351,0.16187026569377566,0.20203928720081474,0.04016902150703908
1300-1400mV,1300,1400,7,0.15503448881957396,0.16187026569377566,0.039239144003781576,0.0709469688863177,0.20203928720081474,0.14807681934840197,0.17711563062965274,0.02903881128125077
1400-1500mV,1400,1500,6,0.14720035575603382,0.15850676194506055,0.03696908627272688,0.0709469688863177,0.1889317623568423,0.14454359992443022,0.1644421906002913,0.019898590675861083
1500-1600mV,1500,1600,4,0.1558308508232607,0.15850676194506055,0.009303882961371976,0.1410103805004585,0.16529949890246318,0.15161003877237372,0.16272757399594753,0.01111753522357381
1600-1700mV,1600,1700,1,0.1410103805004585,0.1410103805004585,0.0,0.1410103805004585,0.1410103805004585,0.1410103805004585,0.1410103805004585,0.0
